,state_full,count_chicken,mean_chicken,std_chicken,skew_chicken,count_ribs,mean_ribs,std_ribs,skew_ribs,count_pork,mean_pork,std_pork,skew_pork,count_brisket,mean_brisket,std_brisket,skew_brisket,count_overall,mean_overall,std_overall,skew_overall
id,Idaho,25,167.464688,6.277543321523158,-1.010414220579035,25,165.39703999999998,7.632274999413131,-0.4790748491269435,25,166.08499200000003,8.454755465117447,-0.1067709510169061,25,166.72824,6.554497035369432,-0.4026580985098931,25,665.6749599999999,21.095904151596194,-0.22826811302843297
il,Illinois,2043,163.54919960841877,8.44963524909925,-0.7902166226147467,2087,161.37992352659288,9.402547319868974,-0.7566671011551063,2029,162.59263834401148,8.553958826857107,-0.6972117966404573,2020,160.6945310891085,10.268184716083434,-0.6994401872764474,2039,645.1846589504653,38.621143831414784,-3.564376058731721
in,Indiana,1484,165.48994177897393,8.015519919286996,-0.83039454313646,1484,163.39622668463406,8.9208318184092,-0.8348495438913949,1485,164.5279787205367,8.173836861681288,-0.6881823388540307,1485,162.17690181818028,10.152360048340261,-0.8219171826625438,1494,651.6263330655954,46.47631675055176,-6.724395603176376
ks,Kansas,6407,163.46733110660517,8.877211709348416,-0.8618272885003503,6415,162.53181823850616,9.433629871735056,-0.7264759156742991,6409,163.28948616009035,8.753740696082701,-0.751411026667337,6404,160.54230705809127,10.527304652873237,-0.7361311821661849,6388,647.4871049467772,39.14252303108822,-4.425166991060767
ky,Kentucky,963,167.33594143302057,7.527087360401721,-1.0255864900210205,961,165.22657148803236,8.073454638250888,-1.076932599855932,963,166.28617736240807,7.169375300356814,-0.6590914648349809,972,163.94104732510183,9.55208129439928,-0.8602570904944441,964,661.7251348547716,28.38450375980625,-2.582020162517078
la,Louisiana,369,165.82844227642278,7.698639507501881,-1.3176069610111223,370,163.3539048648649,9.462843168663364,-1.2493432978967909,369,164.94865257452577,7.767673050475042,-0.635050910103624,367,163.66132316076286,9.770357205772799,-0.8991896699813804,371,653.9660334231809,45.441822742555104,-6.252503901549188
ma,Massachusetts,245,160.52248163265307,8.9047778224986,-0.38857398122838854,245,159.45606857142857,9.296945483534003,-0.6018275944082084,244,159.69633278688525,8.819421094113784,-0.6354447436318972,243,156.66790617283948,10.755879535102626,-0.47625650881034687,245,634.4936783673468,34.58302909943248,-3.9234133973562275
md,Maryland,1038,160.66179922928615,9.619754380339007,-0.5024649843421418,1035,158.5340119806756,10.768200838657993,-0.7911427413204907,1033,158.69215179089937,9.432196214379221,-0.583595598208812,1034,156.5198394584132,12.178141974187026,-0.6180667705903736,1043,629.8275163950146,49.40477922354015,-3.5943708826944833
me,Maine,135,162.31878222222218,7.989205550306912,-0.7819502424860827,135,160.26958518518524,10.17673442064966,-1.2737145168110573,133,161.99009323308277,8.416153924287645,-0.5552142857693964,134,159.22354626865678,11.548945256847603,-1.02434257927412,135,640.3708681481481,40.047235487736806,-2.7203084820203896
mi,Michigan,800,162.05485199999984,8.99221925617001,-0.6029568587483259,797,160.46742434127955,9.536801434024923,-0.7751729700174826,800,161.19074899999978,8.9781012889052,-0.6754057457740484,797,159.16091693851928,11.127895979041979,-0.8141628505223744,801,640.9990871410733,35.10915545024754,-2.448083822031876
mn,Minnesota,1544,165.04830103626801,7.802971290712275,-1.0640979938853834,1561,162.44692299807622,8.456583022270529,-0.7201682583667742,1544,163.7835862694283,7.474699260532451,-0.5114120420257685,1494,161.75650950468378,9.908502453750762,-0.6196010828004889,1520,645.2984794736841,59.502266368799496,-5.363326232825646
mo,Missouri,7229,163.79942033476667,8.946676146413914,-0.8671086498979725,7233,162.31278811005498,9.509366690239641,-0.8830394585352205,7229,163.38218846313902,8.759626555850948,-0.8334799079966211,7235,160.6479004837628,10.749745249290186,-0.7913897001088857,7263,647.1759282390187,41.36571383462221,-4.43978618157546
ms,Mississippi,1592,167.09788693467146,7.417780673456331,-1.2223390606101,1603,165.18124791016643,8.190666240683209,-0.8597346568288621,1599,166.02951744840325,7.579533109795931,-0.970819078221901,1600,164.52134649999812,9.704737292664731,-0.9855057802724067,1607,659.4279584318613,40.38320874547964,-5.40756101231206
mt,Montana,276,160.3360724637681,10.152926363263806,-0.6925220359551101,280,159.50573142857132,12.129244098902658,-0.9393073924786164,279,159.89876845878146,11.442950813838287,-0.8770469833834671,277,157.77300505415167,12.57832460540592,-0.6801181585605567,281,631.5532882562276,59.74338453199086,-4.36040019560499
nc,North Carolina,2701,165.202104405777,8.188545323145874,-0.9744905356777678,2708,163.05006868537725,8.922056834161056,-0.8740924901207221,2706,164.22184922394837,7.549452977588643,-0.6843216054380387,2700,162.43640118518616,10.095965193869247,-0.9017543368385247,2719,651.3983470393518,40.66375802903275,-4.4392336238146894
